009	BANCO INTERNACIONAL
831100000	 0001744502798,00	
831100100	 0000000000000,00	
831100200	 0001744502798,00	
831200000	 0010202355102,00	
831300000	 0000000000000,00	
831500000	 0060337271667,00	
831500100	 0059074920402,00	
831500200	 0001262351265,00	
831600000	 0073246637560,00	
831600100	 0051106816370,00	
831600200	 0009624521957,00	
831600300	 0003598052086,00	
831600400	 0008917247147,00	
831600500	 0000000000000,00	
831700000	 0000000000000,00	
831700100	 0000000000000,00	
831700200	 0000000000000,00	
831700300	 0000000000000,00	
831700400	 0000000000000,00	
831700500	 0000000000000,00	
831800000	 0150544537372,00	
831800100	 0150544537372,00	
831800200	 0000000000000,00	
831900000	 0036877468452,00	
832000000	 0009807362347,00	
832100000	 0009807362347,00	
832100100	 0002959118094,00	
832100200	 0006848244253,00	
832300000	 0000000000000,00	
832300100	 0000000000000,00	
832300200	 0000000000000,00	
832300300	 0000000000000,00	
832500000	 0000000000000,00	
832500100	 0000000000000,00	
832500200	 0000000000000,00	
832500300	 0000000000000,00	
832700000	 0000000000000,00	
832700100	 0000000000000,00	
832700101	 0000000000000,00	
832700102	 0000000000000,00	
832700103	 0000000000000,00	
832700104	 0000000000000,00	
832700200	 0000000000000,00	
832700201	 0000000000000,00	
832700202	 0000000000000,00	
832700203	 0000000000000,00	
832700204	 0000000000000,00	
833000000	 3998799249713,00	
833050000	 0000000000000,00	
833050100	 0000000000000,00	
833050200	 0000000000000,00	
833100000	 3998799249713,00	
833200000	 0000000000000,00	
833300000	 0000000000000,00	
833300100	 0000000000000,00	
833300200	 0000000000000,00	
833300300	 0000000000000,00	
833350000	 0000000000000,00	
833360000	 0000000000000,00	
833370000	 0000000000000,00	
833380000	 0000000000000,00	
833400000	 0000000000000,00	
833410000	 0000000000000,00	
833420000	 0000000000000,00	
833500000	 0000000000000,00	
833500100	 0000000000000,00	
833500200	 0000000000000,00	
833500300	 0000000000000,00	
833500400	 0000000000000,00	
833500500	 0000000000000,00	
833500600	 0000000000000,00	
833500700	 0000000000000,00	
841000000	 0010000000000,00	
841000100	 0005000000000,00	
841000200	 0005000000000,00	
841000300	 0000000000000,00	
841000400	 0000000000000,00	
841000500	 0000000000000,00	
841000600	 0000000000000,00	
841000700	 0000000000000,00	
842000000	 0000000000000,00	
842000100	 0000000000000,00	
842000200	 0000000000000,00	
843000000	 0000000000000,00	
843000100	 0000000000000,00	
843000200	 0000000000000,00	
843000300	 0000000000000,00	
843000400	 0000000000000,00	
843000500	 0000000000000,00	
843500000	 0000000000000,00	
843500100	 0000000000000,00	
843500200	 0000000000000,00	
843500300	 0000000000000,00	
843500400	 0000000000000,00	
843500500	 0000000000000,00	
843500600	 0000000000000,00	
844100000	 0000000000000,00	
844200000	 0000000000000,00	
844300000	 0000000000000,00	
844400000	 0000000000000,00	
844400100	 0000000000000,00	
844400200	 0000000000000,00	
844500000	 1484845855570,00	
844500100	 1484845855570,00	
844500200	 0000000000000,00	
844500300	 0000000000000,00	
844600000	 0000000000000,00	
845250000	 0031861253224,00	
845250100	 0000000000000,00	
845250200	 0000000000000,00	
845250300	 0000000000000,00	
845250400	 0000000000000,00	
845250500	 0031652500138,00	
845250501	 0015777165296,00	
845250502	 0001874345863,00	
845250503	 0002140424574,00	
845250504	 0000517132942,00	
845250505	 0001840269898,00	
845250509	 0009503161565,00	
845250600	 0000208753086,00	
845250601	 0000000000000,00	
845250602	 0000208753086,00	
845250603	 0000000000000,00	
845250609	 0000000000000,00	
845500000	 0003909928234,00	
845500100	 0000000000000,00	
845500200	 0000000000000,00	
845500300	 0002025551552,00	
845500400	 0000000000000,00	
845500500	 0001884376682,00	
845500501	 0000000000000,00	
845500502	 0000000000000,00	
845500503	 0000000000000,00	
845500504	 0000000000000,00	
845500509	 0001884376682,00	
845500600	 0000000000000,00	
846100000	 0000000000000,00	
847000000	 0000007268708,00	
847100000	 0000015005289,00	
847100100	 0000000000000,00	
847100200	 0000004751819,00	
847100300	 0000000000000,00	
847100400	 0000000000000,00	
847100500	 0000000000000,00	
847100600	 0000000000000,00	
847100700	 0000010253470,00	
847200000	 0000007736581,00	
847200100	 0000000000000,00	
847200200	 0000001614858,00	
847200300	 0000000000000,00	
847200400	 0000000000000,00	
847200500	 0000000000000,00	
847200600	 0000000000000,00	
847200700	 0000006121723,00	
851000000	 1701562275396,00	
851100000	 0000000000000,00	
851200000	 1701562275396,00	
852000000	 0297360580666,00	
852100000	 0000000000000,00	
852200000	 0297360580666,00	
853000000	 0109656203227,00	
853100000	 0000000000000,00	
853200000	 0109656203227,00	
854000000	 0259100073161,00	
854200000	 0181261688906,00	
854300000	 0059349831682,00	
854400000	 0018488552573,00	
855000000	 0005492347895,00	
855200000	 0003432650227,00	
855300000	 0001763046367,00	
855400000	 0000296651301,00	
856050000	 0139975647381,00	
856050100	 0001744502798,00	
856050200	 0010202355102,00	
856050300	 0000000000000,00	
856050400	 0034416635519,00	
856050500	 0000000000000,00	
856050600	 0056734685510,00	
856050800	 0000000000000,00	
856050900	 0036877468452,00	
856150000	 0029496857716,00	
856150100	 0000000000000,00	
856150200	 0000000000000,00	
856150300	 0000000000000,00	
856150400	 0025685384774,00	
856150500	 0000000000000,00	
856150600	 0003811472942,00	
856150800	 0000000000000,00	
856150900	 0000000000000,00	
856250000	 0000420431249,00	
856250100	 0000000000000,00	
856250200	 0000000000000,00	
856250300	 0000000000000,00	
856250400	 0000235251374,00	
856250500	 0000000000000,00	
856250600	 0000185179875,00	
856250800	 0000000000000,00	
856250900	 0000000000000,00	
856350000	 0150544537372,00	
856350100	 0000000000000,00	
856350200	 0000000000000,00	
856350300	 0000000000000,00	
856350400	 0000000000000,00	
856350500	 0000000000000,00	
856350600	 0000000000000,00	
856350700	 0150544537372,00	
856350800	 0000000000000,00	
856350900	 0000000000000,00	
856450000	 0000000000000,00	
856450100	 0000000000000,00	
856450200	 0000000000000,00	
856450300	 0000000000000,00	
856450400	 0000000000000,00	
856450500	 0000000000000,00	
856450600	 0000000000000,00	
856450700	 0000000000000,00	
856450800	 0000000000000,00	
856450900	 0000000000000,00	
856550000	 0012452384164,00	
856550100	 0000000000000,00	
856550200	 0000000000000,00	
856550300	 0000000000000,00	
856550400	 0003582496518,00	
856550500	 0008869887646,00	
856550600	 0000000000000,00	
856650000	 0000062915069,00	
856650100	 0000000000000,00	
856650200	 0000000000000,00	
856650300	 0000000000000,00	
856650400	 0000015555568,00	
856650500	 0000047359501,00	
856650600	 0000000000000,00	
856750000	 0000000000000,00	
856750100	 0000000000000,00	
856750200	 0000000000000,00	
856750300	 0000000000000,00	
856750400	 0000000000000,00	
856750500	 0000000000000,00	
856750600	 0000000000000,00	
856750800	 0000000000000,00	
856750900	 0000000000000,00	
856850000	 0000000000000,00	
856850100	 0000000000000,00	
856850200	 0000000000000,00	
856850300	 0000000000000,00	
856850400	 0000000000000,00	
856850500	 0000000000000,00	
856850600	 0000000000000,00	
856850800	 0000000000000,00	
856850900	 0000000000000,00	
856950000	 0000000000000,00	
856950100	 0000000000000,00	
856950200	 0000000000000,00	
856950300	 0000000000000,00	
856950400	 0000000000000,00	
856950500	 0000000000000,00	
856950600	 0000000000000,00	
856950800	 0000000000000,00	
856950900	 0000000000000,00	
857000000	 0047643759612,00	
857100000	 0000000000000,00	
857100100	 0000000000000,00	
857100200	 0000000000000,00	
857200000	 0046086036201,00	
857200100	 0037652990311,00	
857200101	 0037652990311,00	
857200102	 0000000000000,00	
857200103	 0000000000000,00	
857200104	 0000000000000,00	
857200600	 0000604042792,00	
857200700	 0000000000000,00	
857200800	 0000000000000,00	
857200900	 0000000000000,00	
857201000	 0002667729185,00	
857201100	 0003211824236,00	
857201200	 0001949449677,00	
857300000	 0001409297504,00	
857300100	 0000612087191,00	
857300200	 0000377596067,00	
857300300	 0000000000000,00	
857300400	 0000419614246,00	
857300500	 0000000000000,00	
857300600	 0000000000000,00	
857400000	 0000148425907,00	
857400100	 0000148425907,00	
857400200	 0000000000000,00	
857400300	 0000000000000,00	
857400400	 0000000000000,00	
857400500	 0000000000000,00	
858000000	 0000000000000,00	
858100000	 0000000000000,00	
858200000	 0000000000000,00	
858300000	 0000000000000,00	
858400000	 0000000000000,00	
859000000	 0000000000000,00	
859100000	 0000000000000,00	
859200000	 0000000000000,00	
859300000	 0000000000000,00	
859400000	 0000000000000,00	
